Validation Measures/dynamic_time_warping/site_rrotvec,_runtime,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,_step,Agent Video,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rrotvec
,2191.241469255,,,,,112.45162963867188,,,,,,,164659200.0,,,,1765254794.6907928,119.44318389892578,,,,
,2191.2420203,,,,,111.56391143798828,,,,,,,165478400.0,,,,1765254794.6913445,119.44469451904297,,,,
,2191.242718483,,,,,112.38253784179688,,,,,,,166297600.0,,,,1765254794.6919074,120.59076690673828,,,,
,2191.243272368,,,,,110.92259979248047,,,,,,,167116800.0,,,,1765254794.6924546,119.54324340820312,,,,
,2191.244005606,,,,,111.31499481201172,,,,,,,167936000.0,,,,1765254794.6931574,120.40019226074219,,,,
,2191.244651345,,,,,112.15331268310547,,,,,,,168755200.0,,,,1765254794.6938846,122.16031646728516,,,,
,2191.245182837,,,,,112.46053314208984,,,,,,,169574400.0,,,,1765254794.6945395,122.45436096191406,,,,
16.942991256713867,2191.248125163,2.9950897693634033,173.66409301757812,4.317019462585449,55.94456481933594,111.5523452758789,51.274192810058594,25.711854934692383,2.057678699493408,10.080879211425781,0.3368595838546753,0.13656309247016907,170393600.0,,0.29603415727615356,0.6995450258255005,1765254794.6970873,121.82164764404297,0.6014923453330994,244.52296447753906,7.620508670806885,0.3376486003398895
,2191.248646682,,,,,110.66983032226562,,,,,,,171212800.0,,,,1765254794.698047,121.72406005859375,,,,
,2191.249139141,,,,,111.73041534423828,,,,,,,172032000.0,,,,1765254794.698561,123.95110321044922,,,,
,2191.249654993,,,,,112.27491760253906,,,,,,,172851200.0,,,,1765254794.6990583,124.5741958618164,,,,
,2191.25014072,,,,,111.3355941772461,,,,,,,173670400.0,,,,1765254794.69958,124.17110443115234,,,,
,2191.250638233,,,,,111.34423828125,,,,,,,174489600.0,,,,1765254794.7000628,124.69280242919922,,,,
,2191.251144083,,,,,111.69085693359375,,,,,,,175308800.0,,,,1765254794.7005591,125.25801086425781,,,,
,2191.251662787,,,,,111.9700698852539,,,,,,,176128000.0,,,,1765254794.7010674,126.75145721435547,,,,
,2191.252152542,,,,,112.47177124023438,,,,,,,176947200.0,,,,1765254794.7015882,126.90379333496094,,,,
,2191.252691949,,,,,110.9974365234375,,,,,,,177766400.0,,,,1765254794.7020774,126.2221450805664,,,,
,2191.253207602,,,,,110.914794921875,,,,,,,178585600.0,,,,1765254794.7025802,126.36421203613281,,,,
,2191.25379303,,,,,112.11756896972656,,,,,,,179404800.0,,,,1765254794.7031004,128.3957061767578,,,,
,2191.2543195,,,,,111.4494400024414,,,,,,,180224000.0,,,,1765254794.7036479,127.78890991210938,,,,
,2191.254972917,,,,,111.97093200683594,,,,,,,181043200.0,,,,1765254794.704181,128.78282165527344,,,,
,2191.255537593,,,,,111.73179626464844,,,,,,,181862400.0,,,,1765254794.7048433,128.52767944335938,,,,
,2191.25612637,,,,,112.188720703125,,,,,,,182681600.0,,,,1765254794.705409,129.8325958251953,,,,
15.019173622131348,2191.259406039,2.9594602584838867,176.40655517578125,4.364304542541504,58.7181510925293,109.86376190185547,52.587303161621094,25.310733795166016,2.09340763092041,9.847505569458008,0.3353324234485626,0.1387380212545395,183500800.0,,0.2777251899242401,0.637879490852356,1765254794.7080746,127.47627258300781,0.585237443447113,239.97265625,7.656464576721191,0.30936676263809204
,2191.259913555,,,,,111.74620056152344,,,,,,,184320000.0,,,,1765254794.7092357,129.6350860595703,,,,
,2191.260482208,,,,,112.2822265625,,,,,,,185139200.0,,,,1765254794.7097998,131.13514709472656,,,,
,2191.261045979,,,,,112.25572967529297,,,,,,,185958400.0,,,,1765254794.7103622,131.44056701660156,,,,
,2191.261627364,,,,,111.9111099243164,,,,,,,186777600.0,,,,1765254794.710904,131.18211364746094,,,,
,2191.262162926,,,,,113.89689636230469,,,,,,,187596800.0,,,,1765254794.711495,134.10879516601562,,,,
,2191.262727765,,,,,113.04135131835938,,,,,,,188416000.0,,,,1765254794.7120528,133.65248107910156,,,,
